,idPlanGobierno,idOrganizacionPolitica,txOrganizacionPolitica,idTipoEleccion,txTipoEleccion,idJuradoElectoral,txJuradoElectoral,txRutaCompleto,txRutaResumen,txTipoPlan,txCodExpedienteExt,idEstadoLista,txEstadoLista,nuCantidadCandidatos,txUbigeo,txDistritoElectoral,txRegion,txProvincia,txDistrito
97,25311,1264,JUNTOS POR EL PERU,4,REGIONAL,1682,HUARAZ,https://mpesije.jne.gob.pe/docs/405b0f81-23e2-4c65-aa3a-bea53c078e57.pdf,https://mpesije.jne.gob.pe/docs/25665d83-d5f2-405d-862b-2fc88037f76f.pdf,,ERM.2022014932,158,INSCRITO,52,20000,,ANCASH,,
98,20190,1264,JUNTOS POR EL PERU,4,REGIONAL,1705,MARISCAL NIETO,https://mpesije.jne.gob.pe/docs/3335a8ae-336d-4f05-8c73-37bf1d062546.pdf,https://mpesije.jne.gob.pe/docs/c0f2ee98-b368-4382-81dd-ceed3ec52710.pdf,,ERM.2022017033,158,INSCRITO,22,170000,,MOQUEGUA,,
99,19370,1264,JUNTOS POR EL PERU,4,REGIONAL,1664,CHACHAPOYAS,https://mpesije.jne.gob.pe/docs/3d9bee89-d325-4abe-9608-b599d125a449.pdf,https://mpesije.jne.gob.pe/docs/2e47d459-18b7-44b1-9844-8b38bf6f679e.pdf,,ERM.2022016864,158,INSCRITO,22,10000,,AMAZONAS,,
100,23893,1264,JUNTOS POR EL PERU,4,REGIONAL,1657,CALLAO,https://mpesije.jne.gob.pe/docs/65bbef24-adcb-4dd6-832e-b0df24b3c3e8.pdf,https://mpesije.jne.gob.pe/docs/911b5dc3-f03c-4953-a680-24d1f8b02db4.pdf,,ERM.2022017789,158,INSCRITO,20,240000,,CALLAO,,
101,20433,1264,JUNTOS POR EL PERU,4,REGIONAL,1650,AREQUIPA,https://mpesije.jne.gob.pe/docs/dba52ece-8b76-4a22-8d8c-40b1e3c67e87.pdf,https://mpesije.jne.gob.pe/docs/a8826729-aec6-4451-b324-d237929937f4.pdf,,ERM.2022016652,158,INSCRITO,30,40000,,AREQUIPA,,
102,18347,1264,JUNTOS POR EL PERU,4,REGIONAL,1670,CORONEL PORTILLO,https://mpesije.jne.gob.pe/docs/805c923f-f6a7-46c0-ba7b-6776dc7a9c31.pdf,https://mpesije.jne.gob.pe/docs/b6fb3a6b-ed46-46fc-91dd-796444864d68.pdf,,ERM.2022018162,152,IMPROCEDENTE,24,250000,,UCAYALI,,
103,27355,2871,JUNTOS POR LORETO,4,REGIONAL,1707,MAYNAS,https://mpesije.jne.gob.pe/docs/01df1229-023a-4b82-8b82-ed04882f0130.pdf,https://mpesije.jne.gob.pe/docs/20954764-03cc-41e4-a09e-caea51d3ab2a.pdf,,ERM.2022011253,158,INSCRITO,34,150000,,LORETO,,
104,22246,2381,KAUSACHUN,4,REGIONAL,1705,MARISCAL NIETO,https://mpesije.jne.gob.pe/docs/d300f3a1-a2f7-4c90-8177-5cbd18ed6976.pdf,https://mpesije.jne.gob.pe/docs/2d3ac06e-eb9f-4e84-8d9b-292f9f585655.pdf,,ERM.2022007932,158,INSCRITO,22,170000,,MOQUEGUA,,
105,27086,2873,LORETO PARA TODOS,4,REGIONAL,1707,MAYNAS,https://mpesije.jne.gob.pe/docs/be8246a4-0c66-4d34-bf56-07ab32167e86.pdf,https://mpesije.jne.gob.pe/docs/3f78a90b-729f-4930-bba1-6888f3ff59db.pdf,,ERM.2022009689,158,INSCRITO,34,150000,,LORETO,,
106,28532,2907,MISION ORGANIZADA VIA INTEGRIDAD Y LIBERTAD,4,REGIONAL,1707,MAYNAS,https://mpesije.jne.gob.pe/docs/0b09f3bf-e7a3-4155-93ed-98e74d9cf201.pdf,https://mpesije.jne.gob.pe/docs/5da08210-24a1-441d-a4ef-96d67a0be9ce.pdf,,ERM.2022036856,158,INSCRITO,34,150000,,LORETO,,
107,26949,292,MORAL Y DESARROLLO,4,REGIONAL,1718,PUNO,https://mpesije.jne.gob.pe/docs/d023976c-d84c-4330-8064-55f9261771e9.pdf,https://mpesije.jne.gob.pe/docs/65d7adf6-f934-4be7-addb-eb16de1683db.pdf,,ERM.2022015696,158,INSCRITO,40,200000,,PUNO,,
108,17344,2432,MOVIMENTO INDEPENDIENTE REGIONAL FUERZA TACNA,4,REGIONAL,1729,TACNA,https://mpesije.jne.gob.pe/docs/a6401512-35e9-4dbc-8d84-3a698ad870fd.pdf,https://mpesije.jne.gob.pe/docs/12abc12e-add0-45bb-8336-9af639c3ce3e.pdf,,ERM.2022007963,158,INSCRITO,22,220000,,TACNA,,
