,idSolicitudLista,txOrganizacionPolitica,numLista,numCandidatos,txDescUbigeo,idOrganizacionPolitica,txDepartamento,txProvincia,txDistrito,idTipoEleccion,numTotalCandidatoHombre,numTotalCandidatoMujer,fgTieneAccesitario,numTotalAccesitarios,numTotalObligatorios,txTipoEleccion
97,4880,FUERZA POPULAR,1,38,LA LIBERTAD,1366,LA LIBERTAD,,,4,20,18,SI,2,36,REGIONAL
98,2506,PARTIDO DEMOCRATICO SOMOS PERU,1,41,CAJAMARCA,14,CAJAMARCA,,,4,21,20,SI,1,40,REGIONAL
99,2268,PARTIDO FRENTE DE LA ESPERANZA 2021,1,24,PASCO,2857,PASCO,,,4,13,11,NO,0,24,REGIONAL
100,4375,PARTIDO DEMOCRATICO SOMOS PERU,1,22,LAMBAYEQUE,14,LAMBAYEQUE,,,4,11,11,NO,0,22,REGIONAL
101,4404,PARTIDO DEMOCRATICO SOMOS PERU,1,24,ICA,14,ICA,,,4,13,11,NO,0,24,REGIONAL
102,2477,PARTIDO DEMOCRATICO SOMOS PERU,1,20,CALLAO,14,CALLAO,,,4,9,11,NO,0,20,REGIONAL
103,8051,KAUSACHUN,1,23,MOQUEGUA,2381,MOQUEGUA,,,4,12,11,SI,1,22,REGIONAL
104,13499,MOVIMIENTO REGIONAL SOMOS MAS,1,22,MOQUEGUA,2888,MOQUEGUA,,,4,11,11,NO,0,22,REGIONAL
105,10361,PARTIDO POLITICO NACIONAL PERU LIBRE,1,31,TACNA,2218,TACNA,,,4,16,15,SI,9,22,REGIONAL
106,12702,PIURA RENACE,1,24,PIURA,2876,PIURA,,,4,11,13,NO,0,24,REGIONAL
107,12797,PARTIDO MORADO,1,30,AREQUIPA,2840,AREQUIPA,,,4,15,15,NO,0,30,REGIONAL
108,13579,MOVIMIENTO REGIONAL AREQUIPA AVANCEMOS,1,47,AREQUIPA,2307,AREQUIPA,,,4,24,23,SI,17,30,REGIONAL
109,2553,PARTIDO FRENTE DE LA ESPERANZA 2021,1,24,UCAYALI,2857,UCAYALI,,,4,11,13,NO,0,24,REGIONAL
110,10027,FRENTE POPULAR AGRICOLA FIA DEL PERU,1,48,CUSCO,2901,CUSCO,,,4,24,24,SI,2,46,REGIONAL
111,8358,MOVIMIENTO INDEPENDIENTE REIVINDIQUEMOS LORETO,1,42,LORETO,2874,LORETO,,,4,21,21,SI,8,34,REGIONAL
112,13464,ACCION POPULAR,1,24,APURIMAC,4,APURIMAC,,,4,13,11,NO,0,24,REGIONAL
113,13387,MOVIMIENTO REGIONAL AGUA,1,56,AYACUCHO,2861,AYACUCHO,,,4,29,27,SI,20,36,REGIONAL
114,12674,PARTIDO PATRIOTICO DEL PERU,1,28,PIURA,2869,PIURA,,,4,14,14,SI,4,24,REGIONAL
115,13844,PARTIDO DEMOCRATICO SOMOS PERU,1,24,PASCO,14,PASCO,,,4,11,13,NO,0,24,REGIONAL
116,13936,PODEMOS PERU,1,46,CUSCO,2731,CUSCO,,,4,23,23,NO,0,46,REGIONAL
117,13830,FRENTE POPULAR AGRICOLA FIA DEL PERU,1,54,ANCASH,2901,ANCASH,,,4,28,26,SI,2,52,REGIONAL
118,14002,FE EN EL PERU,1,24,PIURA,2898,PIURA,,,4,13,11,NO,0,24,REGIONAL
119,13863,LORETO PARA TODOS,1,40,LORETO,2873,LORETO,,,4,20,20,SI,6,34,REGIONAL
120,8107,RENOVACION POPULAR,1,28,CALLAO,22,CALLAO,,,4,15,13,SI,8,20,REGIONAL
